meaning ,знач<span style='color: blue;'>е</span>ние 
there (when we point) ,там 
there (when we go) ,туд<span style='color: blue;'>а</span> 
come here! ,или сюд<span style='color: blue;'>а</span>! 
it's amazing/nice ,это прекр<span style='color: blue;'>а</span>сно 
I notice ,<span style='color: blue;'>э</span>то замеч<span style='color: blue;'>э</span>ю 
flexible ,г<span style='color: blue;'>и</span>бкий 
cuss words ,мат; м<span style='color: blue;'>а</span>терные слов<span style='color: blue;'>а</span> 
bitch ,с<span style='color: blue;'>у</span>ка 
bug,жук 
